PPID,AttentionCheck1.T1,AttentionCheck2.T1,Grit.T1,TOI.T1,AttentionCheck1.T2,AttentionCheck2.T2,Grit.T2,TOI.T2
231,5,1,4,4,5,1,3.625,3.333333333
233,5,1,4,4,NA,NA,NA,NA
234,5,5,3.875,3.333333333,5,1,2.5,4
235,5,1,3,1.666666667,5,1,3,2
237,5,1,3.625,3,5,1,3.75,3.333333333
239,5,1,3.5,2,NA,NA,NA,NA
24,5,1,2.625,3,5,1,3,3.333333333
241,5,1,3.75,3.666666667,NA,NA,NA,NA
242,5,1,2,2,2,2,2.75,2
243,5,1,3,1,NA,NA,NA,NA
246,5,1,3.625,5,5,1,3.75,4
247,5,1,3.875,3.666666667,5,1,4.625,4
249,5,1,3.75,6,NA,NA,NA,NA
250,5,1,3.375,6,5,1,2.75,6
251,4,1,3.5,2.666666667,5,1,3.75,2
252,5,1,3.125,3.333333333,5,1,3.25,2.333333333
253,5,1,4,1,NA,NA,NA,NA
255,5,1,3.125,2,5,1,3.375,3.666666667
256,5,1,4,3.666666667,5,1,4.125,2
257,5,1,3.375,2.333333333,NA,NA,NA,NA
26,5,1,2.625,3.333333333,5,5,2.875,3.666666667
260,5,1,3,2,5,1,3.375,4.666666667
261,5,1,2.75,1,NA,NA,NA,NA
262,5,1,3,5,NA,NA,NA,NA
263,5,1,4.25,1.666666667,5,1,4.125,2.333333333
264,5,1,2.875,2,5,1,2.875,2
266,NA,NA,NA,NA,NA,NA,NA,NA
268,5,5,3.75,5,NA,NA,NA,NA
271,5,5,2,4,5,5,2.625,3
274,5,1,4,2,5,1,4.625,3
275,5,1,2.5,4.333333333,5,1,2.625,3.333333333
276,5,1,4.5,4.333333333,5,1,4.125,4
278,5,1,3.5,2,5,1,3.5,2
28,5,1,2.75,5,5,1,2.625,5
280,5,1,2.75,2,5,1,2.5,2
281,5,1,4.625,4,5,1,4.125,3
283,5,1,3.125,2,5,1,3,1
284,5,1,3.25,3.333333333,5,1,2.75,2
285,5,1,4.125,3,5,1,4,1.333333333
286,5,1,2.875,3,5,1,2.625,1.333333333
288,5,1,2.875,1.666666667,5,1,2.5,2
289,5,1,3.625,4.666666667,5,1,3,5
29,5,1,3.875,4,5,1,2.5,6
290,5,1,4.125,1,5,1,3.625,2
291,5,1,3.5,3.666666667,5,1,2.75,4
292,5,1,3.625,4,5,1,3.125,5
293,5,1,2.75,2.333333333,NA,NA,NA,NA
294,5,1,4.5,4,5,1,4.125,5
299,5,1,2.875,2.666666667,5,1,3.375,3.333333333
30,5,1,3.125,2,NA,NA,NA,NA
300,5,1,3.125,2,NA,NA,NA,NA
301,5,1,2.875,1,5,1,2.625,1
303,1,1,4.5,2,5,1,3.875,4
304,5,1,3.625,1,5,1,3.25,2
306,5,1,4.25,3,5,5,3.375,3.666666667
307,5,1,4.125,3.333333333,5,1,3.875,3.666666667
308,5,1,3.75,2.333333333,5,1,3,3.333333333
309,5,1,3.375,3,5,1,3,2.333333333
310,5,1,3.75,2.666666667,NA,NA,NA,NA
311,5,1,3.375,3.333333333,NA,NA,NA,NA
313,5,1,4.125,2.666666667,5,1,4,3.333333333
314,5,5,3.625,4,NA,NA,NA,NA
315,5,1,3.875,5,5,1,3.375,4
317,5,1,4.125,4,5,1,3.5,3.333333333
318,5,5,3.5,1.666666667,NA,NA,NA,NA
320,5,5,3.5,2,5,5,4.25,1.333333333
322,5,1,3.625,2,NA,NA,NA,NA
324,5,1,4.375,1.333333333,5,1,3.875,1
326,5,1,4,2,5,1,3.375,1
327,5,1,3.75,3,5,1,4,2.333333333
328,5,1,2.875,2,5,5,3.25,2
329,5,NA,NA,NA,5,1,3.375,4
33,5,1,3.625,2,5,1,3.625,3
330,5,1,3.875,4.666666667,5,1,3.375,4.333333333
331,5,1,3.75,3.333333333,5,1,4,2
333,5,5,2.625,5,5,1,1.875,6
334,5,1,2.875,1,5,1,2.625,2
336,5,1,3.875,5,NA,NA,NA,NA
339,5,1,3.25,1,NA,NA,NA,NA
342,4,1,3.75,2.333333333,5,1,3.5,2.333333333
343,5,1,3.5,1,5,1,3.25,3.666666667
346,5,1,4.375,4,5,1,4.5,4
347,5,1,2.875,1.333333333,5,1,3,1.333333333
